clip_range,ratios_min,ratios_mean,num_epochs,ratios_max,learning_rate,approx_TV,num_agents
0.3,0.5999383330345154,0.9926333427429199,65,1.6757457256317139,0.0001,0.4009605348110199,5
0.3,0.5990810394287109,0.9925982356071472,66,1.680614948272705,0.0001,0.4024852514266968,5
0.3,0.598445475101471,0.9925655126571655,67,1.6855474710464478,0.0001,0.40399447083473206,5
0.3,0.5980686545372009,0.9925358891487122,68,1.6904960870742798,0.0001,0.40525853633880615,5
0.3,0.5979208946228027,0.9925084710121155,69,1.6955571174621582,0.0001,0.40634822845458984,5
0.3,0.597984790802002,0.992483377456665,70,1.7009015083312988,0.0001,0.407268762588501,5
0.3,0.5982342958450317,0.9924600720405579,71,1.7064764499664307,0.0001,0.4080372750759125,5
0.3,0.5987032055854797,0.9924394488334656,72,1.7122445106506348,0.0001,0.4086170196533203,5
0.3,0.5992855429649353,0.9924208521842957,73,1.7181789875030518,0.0001,0.4090522229671478,5
0.3,0.5999636650085449,0.9924042224884033,74,1.7242709398269653,0.0001,0.40937286615371704,5
0.3,0.6006974577903748,0.992389440536499,75,1.7304930686950684,0.0001,0.40957361459732056,5
0.3,0.6014991402626038,0.9923754930496216,76,1.7368866205215454,0.0001,0.4096658229827881,5
0.3,0.6023945212364197,0.9923624992370605,77,1.7434310913085938,0.0001,0.4096132516860962,5
