clip_range,num_agents,ratios_max,ratios_min,num_epochs,approx_TV,ratios_mean,learning_rate
0.4,5,3.1498515605926514,0.23036552965641022,56,0.9912422299385071,0.9945696592330933,0.0005
0.4,5,3.14178466796875,0.2245108038187027,57,0.996064305305481,0.9942992329597473,0.0005
0.4,5,3.1358983516693115,0.2189527302980423,58,1.0013532638549805,0.9940261244773865,0.0005
0.4,5,3.1322309970855713,0.2135487198829651,59,1.006899118423462,0.9937507510185242,0.0005
0.4,5,3.13344144821167,0.20844611525535583,60,1.0123149156570435,0.9934613704681396,0.0005
0.4,5,3.139254570007324,0.20351292192935944,61,1.0177397727966309,0.993144690990448,0.0005
0.4,5,3.1473476886749268,0.198781818151474,62,1.0232102870941162,0.9928125739097595,0.0005
0.4,5,3.1558022499084473,0.19408905506134033,63,1.028839111328125,0.9924749732017517,0.0005
0.4,5,3.167875289916992,0.18970227241516113,64,1.0348873138427734,0.9921368360519409,0.0005
0.4,5,3.182241201400757,0.18563762307167053,65,1.0408439636230469,0.9917904138565063,0.0005
0.4,5,3.198730230331421,0.1819099634885788,66,1.045741081237793,0.9914399981498718,0.0005
0.4,5,3.215384006500244,0.17835509777069092,67,1.0499446392059326,0.9911025762557983,0.0005
0.4,5,3.2304933071136475,0.17506234347820282,68,1.054009199142456,0.9907819032669067,0.0005
0.4,5,3.2430384159088135,0.17199257016181946,69,1.0585219860076904,0.9905002117156982,0.0005
0.4,5,3.2576746940612793,0.16920049488544464,70,1.0642958879470825,0.9902433753013611,0.0005
0.4,5,3.273378372192383,0.16647642850875854,71,1.0704314708709717,0.9899898171424866,0.0005
0.4,5,3.288149118423462,0.1637914627790451,72,1.0764625072479248,0.9897443652153015,0.0005
0.4,5,3.301140308380127,0.16107098758220673,73,1.0821415185928345,0.9895238876342773,0.0005
0.4,5,3.3175787925720215,0.15850521624088287,74,1.087507724761963,0.9893129467964172,0.0005
0.4,5,3.338472366333008,0.15593373775482178,75,1.0931308269500732,0.989093542098999,0.0005
0.4,5,3.361952066421509,0.15327520668506622,76,1.0990188121795654,0.9888656735420227,0.0005
0.4,5,3.3854241371154785,0.15059182047843933,77,1.1044725179672241,0.98862624168396,0.0005
0.4,5,3.4025542736053467,0.14798179268836975,78,1.1082358360290527,0.9884037375450134,0.0005
0.4,5,3.413241147994995,0.14552092552185059,79,1.1113377809524536,0.9882025122642517,0.0005
0.4,5,3.4169540405273438,0.14325697720050812,80,1.1135179996490479,0.9880182147026062,0.0005
0.4,5,3.421792507171631,0.14111623167991638,81,1.1157445907592773,0.9878323674201965,0.0005
0.4,5,3.426858425140381,0.13902220129966736,82,1.1181718111038208,0.9876406192779541,0.0005
0.4,5,3.4277584552764893,0.1367916315793991,83,1.120348334312439,0.9874405264854431,0.0005
0.4,5,3.4238903522491455,0.13431507349014282,84,1.1228716373443604,0.9872308373451233,0.0005
0.4,5,3.414306402206421,0.1316373199224472,85,1.1243857145309448,0.9870386719703674,0.0005
0.4,5,3.40708589553833,0.12916713953018188,86,1.1249349117279053,0.9868510365486145,0.0005
0.4,5,3.405466318130493,0.12695695459842682,87,1.1241600513458252,0.9866637587547302,0.0005
0.4,5,3.407374620437622,0.124916672706604,88,1.1218149662017822,0.9864583015441895,0.0005
0.4,5,3.4104363918304443,0.12297552824020386,89,1.117057204246521,0.9862378835678101,0.0005
0.4,5,3.412376880645752,0.12097401171922684,90,1.1111429929733276,0.9860139489173889,0.0005
0.4,5,3.408519744873047,0.11920811235904694,91,1.1121739149093628,0.9857659339904785,0.0005
0.4,5,3.394360303878784,0.1177227646112442,92,1.1253025531768799,0.9855007529258728,0.0005
0.4,5,3.3689308166503906,0.11656104028224945,93,1.136536717414856,0.9852502942085266,0.0005
0.4,5,3.3367035388946533,0.11561671644449234,94,1.1453602313995361,0.9850195050239563,0.0005
